PyScript,Total Memory(MB),Total Time(s)
example.py,95.191406,1.690
plot_face_recognition.py,169.546875,29.018
plot_outlier_detection_wine.py,175.953125,1.691
plot_out_of_core_classification.py,169.808594,23.949
plot_prediction_latency.py,174.386719,13.999
plot_species_distribution_modeling.py,499.085938,7.900
plot_stock_market.py,180.746094,28.502
plot_tomography_l1_reconstruction.py,147.027344,11.199
plot_topics_extraction_with_nmf_lda.py,236.84375,12.797
plot_bicluster_newsgroups.py,208.949219,16.034
